# Словарь ChatTranslator. Данные: OpenRussian.org (https://en.openrussian.org),
# https://github.com/Badestrand/russian-dictionary — лицензия CC BY-SA 4.0
# (https://creativecommons.org/licenses/by-sa/4.0/). Изменения: отобраны частые
# слова (по wordfreq), оставлен один перевод, убраны ударения и неоднозначные
# формы, для игровых слов выбрано игровое значение. Этот файл распространяется
# на тех же условиях CC BY-SA 4.0. Собран скриптом tools/build_dictionary.py.
abacus	счёты
boobs	сиськи
book	книга
book-keeper	бухгалтер
book-keeping	отчётность
booking-office	касса
bookish	книжный
booklet	брошюра
booklets	брошюры
bookmark	закладка
bookmarks	закладки
books	книги
boom	бум
boomerang	бумеранг
boomerangs	бумеранги
booms	бумы
boon	костра
boons	*костры
booster	усилитель
boosters	усилители
boot	сапог
boot-maker	сапожник
booth	кабина
booths	кабины
booties	добычи
boots	сапоги
booty	добыча
bordeaux	бордо
border	край
borders	края
bore	зануда
boredom	скука
bores	зануды
boron	бор
borons	боры
borough	местечко
boroughs	местечки
borrower	заёмщик
borrowers	заёмщики
bosom	грудь
bosoms	груди
boss	босс
bosses	боссы
boston	Бостон
botanical	ботанический
botanist	ботаник
botanists	ботаники
bottle	бутылка
bottles	бутылки
bottom	дно
bottoms	донья
bough	ветвь
boughs	ветви
boulevard	бульвар
boulevards	бульвары
boundaries	рубежи
boundary	рубеж
bounties	премии
bounty	премия
bouquet	букет
bouquets	букеты
bourgeois	буржуазный
bourgeoisie	буржуазия
bout	приступ
boutique	бутик
boutiques	бутики
bouts	приступы
bow	лук
bow-tie	бабочка
bowels	кишечник
bowelses	кишечники
bowl	кубок
bowler	котелок
bowlers	котелки
bowls	кубки
bows	луки
box	ящик
boxer	боксёр
boxers	боксёры
boxes	ящики
boy	парень
boy-friend	кавалер
boys	парни
boyses	ребята
bra	лифчик
bracelet	браслет
bracelets	браслеты
bracket	скобка
brackets	скобки
braid	коса
braids	косы
brain	мозг
brains	мозги
brake	тормоз
brakes	тормоза
branch	филиал
branches	филиалы
brand	марка
brand-new	новенький
brandies	коньяки
brands	марки
brandy	коньяк
bras	лифчики
brave	храбрый
bravely	храбро
braveries	отваги
bravery	храбрость
bravo	браво
brawl	скандал
brawls	скандалы
brazil	Бразилия
brazilian	бразильский
brazilians	бразильцы
breach	нарушение
breaches	нарушения
bread	хлеб
breadth	ширина
breadths	широты
break-in	взлом
break-through	прорыв
break-up	распад
breakage	бой
breakages	бои
breakdown	авария
breakdowns	аварии
breaker	волна
breakers	волны
breakerses	прибои
breakfast	завтрак
breakfasts	завтраки
breakthrough	переломный
breast	грудь
breast-feeding	кормление
breasts	груди
breath	дух
breathing	дыхание
breathing-space	передышка
breathings	дыхания
breaths	духи
breathtaking	захватывающий
breech-block	затвор
breeches	штаны
breecheses	штаны
breed	порода
breeding	разведение
breedings	разведения
breeds	породы
breeze	ветер
breezes	ветерки
brest	брест
brewer	пивовар
brewers	пивовары
bribe-taking	взяточничество
briberies	подкупы
bribery	подкуп
brick	кирпич
bricks	кирпичи
bride	невеста
bridegroom	жених
bridegrooms	женихи
brides	невесты
bridge	мост
bridges	мосты
brief	краткий
briefcase	портфель
briefcases	портфели
briefly	коротко
brigade	бригада
brigade-leader	бригадир
brigades	бригады
brigadier	бригадир
brigadiers	бригадиры
bright	яркий
brightly	ярко
brightness	яркость
brightnesses	яркости
brilliance	блеск
brilliances	яркости
brilliant	яркий
brilliantly	блестяще
brilliants	бриллианты
brim	край
brim-full	верхом
brims	края
brink	край
brinks	края
briskly	бодро
britain	Британия
british	британский
britishes	англичане
briton	британец
britons	британцы
brittle	хрупкий
broad	широкий
broadcasting	вещание
broadcastings	вещания
broadly	широко
broadside	лаг
broadsides	лаги
brochure	брошюра
brochures	брошюры
brokerage	комиссионный
bronze	бронза
brooch	брошь
brooches	броши
brook	ручей
brooks	ручьи
broth	бульон
brother	брат
